immatriculation,type_engin,marque,annee_mise_en_service,age_vehicule_ans,departement_affectation,km_parcourus_estimes,etat_general,assureur
PRT-0278-BJ,Grue mobile,Caterpillar,2005,19,Littoral,765000,Mauvais,COLINA
PRT-0279-BJ,Camion benne,DAF,2018,6,Collines,265000,Bon,SOBAC
PRT-0280-BJ,Niveleuse,XCMG,2020,4,Atlantique,113000,Moyen,SAAR-Bénin
PRT-0281-BJ,Véhicule léger 4x4,Land Rover,2006,18,Littoral,544000,Mauvais,Allianz Bénin
PRT-0282-BJ,Véhicule léger 4x4,Nissan,2015,9,Atacora,389000,Moyen,SAAR-Bénin
PRT-0283-BJ,Camion plateau,Volvo,2016,8,Zou,183000,Bon,UAB
PRT-0284-BJ,Camion benne,SHACMAN,2012,12,Littoral,331000,Bon,BGFA Bénin
PRT-0285-BJ,Compacteur,Volvo CE,2010,14,Alibori,541000,Mauvais,SAAR-Bénin
PRT-0286-BJ,Camion benne,Volvo,2020,4,Couffo,175000,Bon,SAAR-Bénin
PRT-0287-BJ,Niveleuse,Komatsu,2017,7,Zou,154000,Moyen,COLINA
PRT-0288-BJ,Véhicule léger 4x4,Toyota,2014,10,Plateau,364000,Mauvais,SOBAC
PRT-0289-BJ,Véhicule léger 4x4,Mitsubishi,2005,19,Alibori,834000,Mauvais,SAAR-Bénin
PRT-0290-BJ,Bulldozer,JCB,2016,8,Littoral,267000,Bon,Allianz Bénin
PRT-0291-BJ,Véhicule léger 4x4,Ford,2007,17,Ouémé,561000,Mauvais,SAAR-Bénin
PRT-0292-BJ,Grue mobile,Komatsu,2009,15,Mono,616000,Mauvais,SAAR-Bénin
PRT-0293-BJ,Niveleuse,SANY,2009,15,Littoral,471000,Mauvais,NSIA Bénin
PRT-0294-BJ,Camion benne,Volvo,2015,9,Alibori,179000,Moyen,COLINA
PRT-0295-BJ,Chargeur,Liebherr,2015,9,Donga,251000,Moyen,COLINA
PRT-0296-BJ,Bulldozer,XCMG,2015,9,Zou,279000,Moyen,SOBAC
PRT-0297-BJ,Compacteur,Doosan,2005,19,Ouémé,544000,Mauvais,COLINA
PRT-0298-BJ,Véhicule léger 4x4,Land Rover,2005,19,Collines,693000,Moyen,BGFA Bénin
PRT-0299-BJ,Camion plateau,DAF,2006,18,Zou,641000,Moyen,SOBAC
PRT-0300-BJ,Compacteur,JCB,2009,15,Alibori,506000,Moyen,SOBAC
PRT-0301-BJ,Camion benne,Mercedes-Benz,2019,5,Atlantique,188000,Bon,Allianz Bénin
PRT-0302-BJ,Véhicule léger 4x4,Mitsubishi,2020,4,Atacora,68000,Moyen,SOBAC
PRT-0303-BJ,Camion benne,DAF,2022,2,Atlantique,73000,Bon,UAB
PRT-0304-BJ,Niveleuse,SANY,2010,14,Plateau,461000,Mauvais,SAAR-Bénin
PRT-0305-BJ,Pelle hydraulique,XCMG,2020,4,Littoral,133000,Bon,SAAR-Bénin
PRT-0306-BJ,Camion benne,IVECO,2014,10,Borgou,310000,Moyen,SAAR-Bénin
PRT-0307-BJ,Véhicule léger 4x4,Mitsubishi,2013,11,Atlantique,361000,Moyen,UAB
PRT-0308-BJ,Chargeur,JCB,2016,8,Donga,196000,Mauvais,NSIA Bénin
PRT-0309-BJ,Véhicule léger 4x4,Land Rover,2007,17,Ouémé,398000,Mauvais,SOBAC
PRT-0310-BJ,Véhicule léger 4x4,Nissan,2022,2,Atlantique,67000,Bon,SOBAC
PRT-0311-BJ,Camion benne,MAN,2012,12,Atlantique,389000,Moyen,Allianz Bénin
PRT-0312-BJ,Pelle hydraulique,Caterpillar,2008,16,Ouémé,293000,Mauvais,SOBAC
PRT-0313-BJ,Camion citerne,Mercedes-Benz,2022,2,Mono,40000,Bon,UAB
PRT-0314-BJ,Pelle hydraulique,Doosan,2020,4,Collines,98000,Moyen,SAAR-Bénin
PRT-0315-BJ,Véhicule léger 4x4,Toyota,2007,17,Collines,666000,Moyen,SOBAC
PRT-0316-BJ,Chargeur,Caterpillar,2010,14,Ouémé,227000,Mauvais,BGFA Bénin
PRT-0317-BJ,Véhicule léger 4x4,Isuzu,2010,14,Donga,343000,Mauvais,NSIA Bénin
PRT-0318-BJ,Camion benne,MAN,2015,9,Atlantique,295000,Mauvais,COLINA
PRT-0319-BJ,Niveleuse,Liebherr,2021,3,Plateau,64000,Bon,BGFA Bénin
PRT-0320-BJ,Camion benne,Volvo,2019,5,Collines,77000,Moyen,SOBAC
PRT-0321-BJ,Véhicule léger 4x4,Ford,2011,13,Littoral,577000,Mauvais,UAB
PRT-0322-BJ,Grue mobile,Hitachi,2015,9,Littoral,189000,Moyen,Allianz Bénin
PRT-0323-BJ,Véhicule léger 4x4,Nissan,2005,19,Atlantique,754000,Moyen,SAAR-Bénin
PRT-0324-BJ,Finisseur asphalte,XCMG,2005,19,Atlantique,432000,Mauvais,NSIA Bénin
PRT-0325-BJ,Pelle hydraulique,Doosan,2014,10,Littoral,443000,Moyen,SOBAC
PRT-0326-BJ,Camion citerne,MAN,2014,10,Ouémé,194000,Moyen,UAB
PRT-0327-BJ,Camion benne,SINO TRUCK,2018,6,Borgou,239000,Moyen,COLINA
PRT-0328-BJ,Camion citerne,DAF,2012,12,Borgou,490000,Moyen,NSIA Bénin
PRT-0329-BJ,Niveleuse,Hitachi,2016,8,Littoral,136000,Moyen,BGFA Bénin
PRT-0330-BJ,Niveleuse,Hitachi,2011,13,Zou,335000,Moyen,BGFA Bénin
PRT-0331-BJ,Niveleuse,Komatsu,2011,13,Borgou,578000,Mauvais,COLINA
PRT-0332-BJ,Véhicule léger 4x4,Toyota,2019,5,Littoral,167000,Bon,NSIA Bénin
PRT-0333-BJ,Niveleuse,XCMG,2005,19,Ouémé,749000,Mauvais,Allianz Bénin
PRT-0334-BJ,Compacteur,Caterpillar,2018,6,Ouémé,102000,Bon,NSIA Bénin
PRT-0335-BJ,Camion plateau,SHACMAN,2006,18,Atlantique,350000,Moyen,BGFA Bénin
PRT-0336-BJ,Pelle hydraulique,JCB,2016,8,Couffo,348000,Moyen,UAB
PRT-0337-BJ,Véhicule léger 4x4,Land Rover,2022,2,Littoral,86000,Bon,SAAR-Bénin
PRT-0338-BJ,Camion benne,FAW,2017,7,Zou,156000,Moyen,BGFA Bénin
PRT-0339-BJ,Camion benne,Mercedes-Benz,2014,10,Plateau,289000,Mauvais,COLINA
PRT-0340-BJ,Véhicule léger 4x4,Nissan,2012,12,Plateau,254000,Bon,SOBAC
PRT-0341-BJ,Camion citerne,Mercedes-Benz,2018,6,Collines,265000,Moyen,NSIA Bénin
PRT-0342-BJ,Camion benne,MAN,2008,16,Collines,592000,Mauvais,SOBAC
PRT-0343-BJ,Chargeur,Volvo CE,2006,18,Ouémé,398000,Moyen,BGFA Bénin
PRT-0344-BJ,Chargeur,Caterpillar,2009,15,Zou,626000,Moyen,SOBAC
PRT-0345-BJ,Compacteur,SANY,2012,12,Atlantique,440000,Bon,COLINA
PRT-0346-BJ,Camion benne,IVECO,2013,11,Littoral,482000,Mauvais,SOBAC
PRT-0347-BJ,Camion malaxeur béton,FOTON,2022,2,Plateau,53000,Bon,SOBAC
PRT-0348-BJ,Pelle hydraulique,Hitachi,2015,9,Borgou,223000,Moyen,UAB
PRT-0349-BJ,Camion benne,FAW,2020,4,Atlantique,172000,Bon,SOBAC
PRT-0350-BJ,Camion benne,SHACMAN,2006,18,Zou,599000,Mauvais,COLINA
PRT-0351-BJ,Camion benne,DAF,2013,11,Atlantique,327000,Moyen,BGFA Bénin
PRT-0352-BJ,Véhicule léger 4x4,Mitsubishi,2011,13,Littoral,453000,Mauvais,COLINA
PRT-0353-BJ,Camion benne,MAN,2011,13,Alibori,481000,Mauvais,COLINA
PRT-0354-BJ,Camion benne,DAF,2015,9,Atlantique,197000,Mauvais,Allianz Bénin
PRT-0355-BJ,Camion plateau,MAN,2020,4,Atacora,152000,Bon,Allianz Bénin
PRT-0356-BJ,Véhicule léger 4x4,Nissan,2022,2,Atlantique,49000,Bon,UAB
PRT-0357-BJ,Véhicule léger 4x4,Land Rover,2016,8,Atlantique,351000,Moyen,UAB
PRT-0358-BJ,Véhicule léger 4x4,Land Rover,2020,4,Borgou,87000,Bon,SAAR-Bénin
PRT-0359-BJ,Véhicule léger 4x4,Toyota,2012,12,Borgou,398000,Bon,COLINA
PRT-0360-BJ,Compacteur,JCB,2014,10,Littoral,274000,Moyen,COLINA
PRT-0361-BJ,Grue mobile,Doosan,2022,2,Collines,75000,Bon,SAAR-Bénin
PRT-0362-BJ,Camion benne,SHACMAN,2020,4,Plateau,106000,Moyen,Allianz Bénin
PRT-0363-BJ,Camion benne,FAW,2020,4,Littoral,144000,Moyen,NSIA Bénin
PRT-0364-BJ,Niveleuse,Komatsu,2006,18,Borgou,767000,Mauvais,SOBAC
PRT-0365-BJ,Camion benne,Volvo,2005,19,Atlantique,323000,Mauvais,COLINA
PRT-0366-BJ,Pelle hydraulique,Doosan,2020,4,Littoral,114000,Bon,NSIA Bénin
PRT-0367-BJ,Camion benne,IVECO,2022,2,Mono,31000,Bon,COLINA
PRT-0368-BJ,Camion citerne,FOTON,2010,14,Littoral,278000,Moyen,Allianz Bénin
PRT-0369-BJ,Camion benne,FAW,2013,11,Alibori,308000,Moyen,NSIA Bénin
PRT-0370-BJ,Véhicule léger 4x4,Isuzu,2019,5,Zou,112000,Moyen,SAAR-Bénin
PRT-0371-BJ,Pelle hydraulique,Komatsu,2006,18,Littoral,596000,Mauvais,UAB
PRT-0372-BJ,Camion benne,Mercedes-Benz,2010,14,Littoral,506000,Mauvais,BGFA Bénin
PRT-0373-BJ,Véhicule léger 4x4,Toyota,2021,3,Atacora,68000,Bon,Allianz Bénin
PRT-0374-BJ,Camion malaxeur béton,SHACMAN,2013,11,Littoral,266000,Bon,COLINA
PRT-0375-BJ,Compacteur,Caterpillar,2010,14,Donga,305000,Moyen,COLINA
PRT-0376-BJ,Camion benne,FOTON,2007,17,Atlantique,571000,Mauvais,BGFA Bénin
PRT-0377-BJ,Grue mobile,Hitachi,2015,9,Ouémé,368000,Mauvais,SOBAC
PRT-0378-BJ,Bulldozer,Hitachi,2016,8,Littoral,340000,Moyen,NSIA Bénin
PRT-0379-BJ,Véhicule léger 4x4,Mitsubishi,2017,7,Mono,250000,Bon,SAAR-Bénin
PRT-0380-BJ,Camion citerne,SHACMAN,2020,4,Atlantique,109000,Bon,UAB
PRT-0381-BJ,Camion benne,FOTON,2007,17,Borgou,392000,Moyen,SOBAC
PRT-0382-BJ,Camion benne,IVECO,2009,15,Ouémé,301000,Mauvais,SOBAC
PRT-0383-BJ,Véhicule léger 4x4,Ford,2008,16,Littoral,473000,Mauvais,SAAR-Bénin
PRT-0384-BJ,Camion citerne,MAN,2009,15,Littoral,499000,Mauvais,COLINA
PRT-0385-BJ,Niveleuse,Komatsu,2005,19,Littoral,657000,Mauvais,COLINA
PRT-0386-BJ,Camion citerne,FOTON,2005,19,Atlantique,338000,Mauvais,SOBAC
PRT-0387-BJ,Camion malaxeur béton,DAF,2021,3,Littoral,82000,Bon,Allianz Bénin
PRT-0388-BJ,Camion benne,IVECO,2013,11,Plateau,322000,Bon,SAAR-Bénin
PRT-0389-BJ,Véhicule léger 4x4,Isuzu,2007,17,Ouémé,657000,Mauvais,SOBAC
PRT-0390-BJ,Niveleuse,Volvo CE,2019,5,Littoral,140000,Bon,SAAR-Bénin
PRT-0391-BJ,Grue mobile,JCB,2015,9,Plateau,378000,Moyen,BGFA Bénin
PRT-0392-BJ,Pelle hydraulique,Liebherr,2014,10,Atlantique,216000,Mauvais,UAB
PRT-0393-BJ,Véhicule léger 4x4,Isuzu,2015,9,Atlantique,280000,Moyen,COLINA
PRT-0394-BJ,Camion citerne,SINO TRUCK,2017,7,Atlantique,189000,Moyen,NSIA Bénin
PRT-0395-BJ,Camion malaxeur béton,DAF,2022,2,Littoral,80000,Bon,COLINA
PRT-0396-BJ,Camion benne,SHACMAN,2011,13,Ouémé,490000,Moyen,NSIA Bénin
PRT-0397-BJ,Camion citerne,FOTON,2020,4,Littoral,93000,Bon,SOBAC
PRT-0398-BJ,Camion benne,FOTON,2017,7,Littoral,215000,Moyen,COLINA
PRT-0399-BJ,Véhicule léger 4x4,Mitsubishi,2018,6,Zou,161000,Moyen,SOBAC
PRT-0400-BJ,Chargeur,Hitachi,2007,17,Littoral,625000,Moyen,SAAR-Bénin
PRT-0401-BJ,Camion benne,Mercedes-Benz,2017,7,Mono,288000,Bon,UAB
PRT-0402-BJ,Camion benne,MAN,2013,11,Atlantique,366000,Mauvais,COLINA
PRT-0403-BJ,Pelle hydraulique,Volvo CE,2019,5,Ouémé,186000,Bon,COLINA
PRT-0404-BJ,Pelle hydraulique,Liebherr,2016,8,Couffo,197000,Moyen,UAB
PRT-0405-BJ,Camion malaxeur béton,MAN,2008,16,Alibori,423000,Mauvais,SAAR-Bénin
PRT-0406-BJ,Véhicule léger 4x4,Nissan,2021,3,Plateau,92000,Bon,NSIA Bénin
PRT-0407-BJ,Véhicule léger 4x4,Land Rover,2019,5,Atlantique,208000,Bon,SOBAC
PRT-0408-BJ,Camion benne,SINO TRUCK,2008,16,Borgou,628000,Moyen,Allianz Bénin
PRT-0409-BJ,Niveleuse,Hitachi,2010,14,Atlantique,422000,Mauvais,Allianz Bénin
PRT-0410-BJ,Camion citerne,Volvo,2010,14,Collines,223000,Mauvais,SOBAC
PRT-0411-BJ,Compacteur,Volvo CE,2019,5,Collines,190000,Bon,Allianz Bénin
PRT-0412-BJ,Camion benne,MAN,2008,16,Alibori,432000,Mauvais,SAAR-Bénin
PRT-0413-BJ,Camion benne,MAN,2013,11,Borgou,395000,Moyen,SAAR-Bénin
PRT-0414-BJ,Compacteur,JCB,2008,16,Ouémé,564000,Mauvais,Allianz Bénin
PRT-0415-BJ,Camion citerne,IVECO,2007,17,Borgou,388000,Moyen,SAAR-Bénin
PRT-0416-BJ,Camion benne,SINO TRUCK,2009,15,Zou,293000,Mauvais,COLINA
PRT-0417-BJ,Véhicule léger 4x4,Nissan,2020,4,Collines,145000,Bon,Allianz Bénin
PRT-0418-BJ,Niveleuse,Doosan,2014,10,Littoral,298000,Moyen,COLINA
PRT-0419-BJ,Camion benne,SINO TRUCK,2005,19,Plateau,524000,Moyen,COLINA
PRT-0420-BJ,Niveleuse,Doosan,2018,6,Borgou,255000,Bon,UAB
PRT-0421-BJ,Niveleuse,Komatsu,2005,19,Alibori,305000,Moyen,SAAR-Bénin
PRT-0422-BJ,Camion benne,IVECO,2010,14,Borgou,564000,Mauvais,BGFA Bénin
PRT-0423-BJ,Niveleuse,Hitachi,2008,16,Zou,525000,Moyen,BGFA Bénin
PRT-0424-BJ,Camion plateau,FAW,2006,18,Borgou,399000,Mauvais,UAB
PRT-0425-BJ,Camion benne,DAF,2014,10,Atacora,236000,Bon,SAAR-Bénin
PRT-0426-BJ,Chargeur,Komatsu,2019,5,Atacora,208000,Bon,Allianz Bénin
PRT-0427-BJ,Camion benne,SINO TRUCK,2018,6,Littoral,131000,Bon,BGFA Bénin
PRT-0428-BJ,Camion benne,Mercedes-Benz,2016,8,Zou,164000,Moyen,SAAR-Bénin
PRT-0429-BJ,Camion plateau,IVECO,2014,10,Zou,319000,Mauvais,SOBAC
PRT-0430-BJ,Camion citerne,Volvo,2018,6,Atacora,260000,Moyen,SOBAC
PRT-0431-BJ,Camion benne,Volvo,2012,12,Littoral,277000,Moyen,BGFA Bénin
PRT-0432-BJ,Grue mobile,JCB,2020,4,Littoral,142000,Bon,UAB
PRT-0433-BJ,Véhicule léger 4x4,Toyota,2007,17,Ouémé,642000,Mauvais,SAAR-Bénin
PRT-0434-BJ,Véhicule léger 4x4,Isuzu,2015,9,Zou,385000,Mauvais,SOBAC
PRT-0435-BJ,Camion benne,SHACMAN,2016,8,Alibori,224000,Mauvais,Allianz Bénin
PRT-0436-BJ,Camion plateau,DAF,2020,4,Atlantique,104000,Moyen,COLINA
PRT-0437-BJ,Compacteur,Doosan,2015,9,Atacora,149000,Mauvais,NSIA Bénin
PRT-0438-BJ,Compacteur,Doosan,2005,19,Littoral,560000,Mauvais,UAB
PRT-0439-BJ,Camion benne,FOTON,2011,13,Couffo,571000,Mauvais,SOBAC
PRT-0440-BJ,Véhicule léger 4x4,Ford,2007,17,Collines,462000,Moyen,SOBAC
PRT-0441-BJ,Camion malaxeur béton,Volvo,2006,18,Ouémé,683000,Moyen,BGFA Bénin
PRT-0442-BJ,Camion benne,MAN,2008,16,Littoral,310000,Mauvais,COLINA
PRT-0443-BJ,Camion benne,SHACMAN,2005,19,Littoral,360000,Moyen,BGFA Bénin
PRT-0444-BJ,Véhicule léger 4x4,Nissan,2020,4,Littoral,156000,Bon,BGFA Bénin
PRT-0445-BJ,Camion benne,SINO TRUCK,2016,8,Atacora,323000,Bon,BGFA Bénin
PRT-0446-BJ,Bulldozer,Liebherr,2009,15,Littoral,525000,Mauvais,SOBAC
PRT-0447-BJ,Camion benne,SINO TRUCK,2011,13,Collines,370000,Moyen,COLINA
PRT-0448-BJ,Pelle hydraulique,Volvo CE,2007,17,Atacora,324000,Moyen,COLINA
PRT-0449-BJ,Bulldozer,SANY,2018,6,Atlantique,144000,Bon,SOBAC
PRT-0450-BJ,Camion benne,FAW,2014,10,Borgou,428000,Moyen,BGFA Bénin
PRT-0451-BJ,Pelle hydraulique,XCMG,2011,13,Zou,514000,Mauvais,UAB
PRT-0452-BJ,Véhicule léger 4x4,Toyota,2012,12,Plateau,376000,Bon,SOBAC
PRT-0453-BJ,Compacteur,Hitachi,2005,19,Couffo,367000,Mauvais,UAB
PRT-0454-BJ,Chargeur,JCB,2016,8,Zou,243000,Bon,BGFA Bénin
PRT-0455-BJ,Camion benne,MAN,2005,19,Atlantique,323000,Moyen,BGFA Bénin
PRT-0456-BJ,Véhicule léger 4x4,Ford,2021,3,Borgou,87000,Bon,SOBAC
PRT-0457-BJ,Véhicule léger 4x4,Land Rover,2022,2,Zou,40000,Bon,SAAR-Bénin
PRT-0458-BJ,Camion benne,MAN,2021,3,Donga,124000,Bon,Allianz Bénin
PRT-0459-BJ,Niveleuse,JCB,2007,17,Atlantique,727000,Mauvais,Allianz Bénin
PRT-0460-BJ,Camion benne,MAN,2018,6,Littoral,101000,Bon,SAAR-Bénin
PRT-0461-BJ,Pelle hydraulique,Liebherr,2008,16,Littoral,246000,Moyen,Allianz Bénin
PRT-0462-BJ,Niveleuse,SANY,2021,3,Zou,126000,Bon,SOBAC
PRT-0463-BJ,Camion benne,SINO TRUCK,2009,15,Borgou,585000,Mauvais,NSIA Bénin
PRT-0464-BJ,Camion citerne,Mercedes-Benz,2015,9,Alibori,154000,Moyen,SAAR-Bénin
PRT-0465-BJ,Bulldozer,Komatsu,2020,4,Plateau,125000,Bon,BGFA Bénin
PRT-0466-BJ,Compacteur,SANY,2010,14,Atlantique,473000,Moyen,SOBAC
PRT-0467-BJ,Bulldozer,Volvo CE,2021,3,Littoral,129000,Bon,BGFA Bénin
PRT-0468-BJ,Camion benne,Mercedes-Benz,2020,4,Ouémé,83000,Moyen,BGFA Bénin
PRT-0469-BJ,Camion benne,FOTON,2012,12,Atlantique,463000,Moyen,SAAR-Bénin
PRT-0470-BJ,Camion benne,MAN,2016,8,Littoral,134000,Moyen,Allianz Bénin
PRT-0471-BJ,Camion benne,FAW,2006,18,Donga,544000,Moyen,BGFA Bénin
PRT-0472-BJ,Véhicule léger 4x4,Ford,2015,9,Littoral,244000,Moyen,Allianz Bénin
PRT-0473-BJ,Véhicule léger 4x4,Ford,2012,12,Plateau,374000,Moyen,BGFA Bénin
PRT-0474-BJ,Camion citerne,FAW,2012,12,Littoral,189000,Mauvais,Allianz Bénin
PRT-0475-BJ,Niveleuse,Caterpillar,2015,9,Littoral,385000,Moyen,SOBAC
PRT-0476-BJ,Bulldozer,Komatsu,2011,13,Zou,405000,Moyen,NSIA Bénin
PRT-0477-BJ,Camion plateau,Volvo,2013,11,Littoral,488000,Mauvais,BGFA Bénin
PRT-0478-BJ,Niveleuse,SANY,2019,5,Mono,91000,Bon,COLINA
PRT-0479-BJ,Camion benne,FOTON,2007,17,Collines,624000,Moyen,Allianz Bénin
PRT-0480-BJ,Camion benne,IVECO,2015,9,Donga,380000,Moyen,SOBAC
PRT-0481-BJ,Véhicule léger 4x4,Isuzu,2013,11,Atlantique,214000,Mauvais,BGFA Bénin
PRT-0482-BJ,Camion citerne,MAN,2009,15,Littoral,379000,Mauvais,UAB
PRT-0483-BJ,Camion benne,SINO TRUCK,2011,13,Plateau,558000,Mauvais,NSIA Bénin
PRT-0484-BJ,Camion benne,IVECO,2006,18,Atlantique,357000,Mauvais,NSIA Bénin
PRT-0485-BJ,Bulldozer,SANY,2017,7,Zou,165000,Bon,BGFA Bénin
PRT-0486-BJ,Camion plateau,Mercedes-Benz,2017,7,Alibori,231000,Bon,Allianz Bénin
PRT-0487-BJ,Camion benne,MAN,2009,15,Littoral,609000,Moyen,Allianz Bénin
PRT-0488-BJ,Camion benne,FOTON,2016,8,Borgou,142000,Mauvais,COLINA
PRT-0489-BJ,Compacteur,Komatsu,2005,19,Couffo,687000,Moyen,UAB
PRT-0490-BJ,Camion citerne,MAN,2015,9,Littoral,150000,Mauvais,Allianz Bénin
PRT-0491-BJ,Camion malaxeur béton,FOTON,2017,7,Plateau,203000,Bon,Allianz Bénin
PRT-0492-BJ,Véhicule léger 4x4,Nissan,2013,11,Atlantique,177000,Mauvais,COLINA
PRT-0493-BJ,Compacteur,Volvo CE,2014,10,Plateau,307000,Mauvais,NSIA Bénin
PRT-0494-BJ,Camion benne,FOTON,2009,15,Ouémé,617000,Mauvais,COLINA
PRT-0495-BJ,Camion benne,FAW,2005,19,Couffo,509000,Mauvais,UAB
PRT-0496-BJ,Niveleuse,Doosan,2016,8,Atacora,222000,Moyen,SAAR-Bénin
PRT-0497-BJ,Camion benne,SINO TRUCK,2012,12,Littoral,290000,Mauvais,NSIA Bénin
PRT-0498-BJ,Camion citerne,SHACMAN,2021,3,Ouémé,102000,Bon,Allianz Bénin
PRT-0499-BJ,Camion plateau,MAN,2012,12,Collines,501000,Moyen,BGFA Bénin
PRT-0500-BJ,Camion malaxeur béton,Mercedes-Benz,2012,12,Zou,333000,Mauvais,SAAR-Bénin
PRT-0501-BJ,Camion malaxeur béton,Volvo,2010,14,Atlantique,549000,Moyen,SOBAC
PRT-0502-BJ,Véhicule léger 4x4,Mitsubishi,2005,19,Borgou,638000,Mauvais,COLINA
PRT-0503-BJ,Camion benne,DAF,2020,4,Zou,65000,Bon,NSIA Bénin
PRT-0504-BJ,Camion benne,DAF,2005,19,Zou,667000,Moyen,Allianz Bénin
PRT-0505-BJ,Camion citerne,SINO TRUCK,2010,14,Atacora,358000,Mauvais,NSIA Bénin
PRT-0506-BJ,Camion benne,Volvo,2008,16,Alibori,278000,Mauvais,SAAR-Bénin
PRT-0507-BJ,Pelle hydraulique,JCB,2008,16,Atlantique,323000,Moyen,SOBAC
PRT-0508-BJ,Finisseur asphalte,Doosan,2015,9,Littoral,340000,Mauvais,COLINA
PRT-0509-BJ,Camion citerne,DAF,2010,14,Ouémé,345000,Mauvais,Allianz Bénin
PRT-0510-BJ,Camion benne,Mercedes-Benz,2017,7,Alibori,235000,Moyen,NSIA Bénin
PRT-0511-BJ,Camion benne,SINO TRUCK,2012,12,Collines,375000,Bon,Allianz Bénin
PRT-0512-BJ,Véhicule léger 4x4,Toyota,2012,12,Ouémé,430000,Moyen,NSIA Bénin
PRT-0513-BJ,Grue mobile,SANY,2019,5,Littoral,189000,Bon,NSIA Bénin
PRT-0514-BJ,Véhicule léger 4x4,Toyota,2005,19,Littoral,546000,Mauvais,Allianz Bénin
PRT-0515-BJ,Chargeur,Doosan,2017,7,Ouémé,295000,Bon,UAB
PRT-0516-BJ,Camion citerne,DAF,2010,14,Plateau,225000,Mauvais,SAAR-Bénin
PRT-0517-BJ,Camion benne,IVECO,2008,16,Littoral,437000,Moyen,Allianz Bénin
PRT-0518-BJ,Bulldozer,Hitachi,2007,17,Atlantique,753000,Mauvais,UAB
PRT-0519-BJ,Pelle hydraulique,JCB,2010,14,Collines,235000,Mauvais,NSIA Bénin
PRT-0520-BJ,Véhicule léger 4x4,Nissan,2018,6,Borgou,234000,Moyen,COLINA
PRT-0521-BJ,Camion benne,IVECO,2014,10,Atlantique,337000,Bon,COLINA
PRT-0522-BJ,Grue mobile,Liebherr,2006,18,Ouémé,444000,Mauvais,BGFA Bénin
PRT-0523-BJ,Pelle hydraulique,Doosan,2011,13,Littoral,467000,Moyen,SAAR-Bénin
PRT-0524-BJ,Camion plateau,SHACMAN,2008,16,Atlantique,496000,Mauvais,SOBAC
PRT-0525-BJ,Camion benne,FAW,2017,7,Littoral,190000,Moyen,Allianz Bénin
PRT-0526-BJ,Véhicule léger 4x4,Ford,2019,5,Plateau,119000,Bon,COLINA
PRT-0527-BJ,Camion benne,MAN,2007,17,Collines,486000,Mauvais,BGFA Bénin
PRT-0528-BJ,Compacteur,Hitachi,2006,18,Alibori,517000,Mauvais,COLINA
PRT-0529-BJ,Pelle hydraulique,Doosan,2012,12,Plateau,535000,Bon,BGFA Bénin
PRT-0530-BJ,Bulldozer,Hitachi,2021,3,Alibori,112000,Bon,COLINA
PRT-0531-BJ,Camion benne,SHACMAN,2010,14,Donga,307000,Moyen,BGFA Bénin
PRT-0532-BJ,Camion benne,Mercedes-Benz,2018,6,Littoral,130000,Bon,BGFA Bénin
PRT-0533-BJ,Compacteur,XCMG,2015,9,Atacora,155000,Mauvais,NSIA Bénin
PRT-0534-BJ,Véhicule léger 4x4,Isuzu,2022,2,Atlantique,48000,Bon,COLINA
PRT-0535-BJ,Véhicule léger 4x4,Toyota,2021,3,Borgou,56000,Bon,UAB
PRT-0536-BJ,Camion benne,MAN,2008,16,Zou,390000,Moyen,BGFA Bénin
PRT-0537-BJ,Niveleuse,SANY,2018,6,Atlantique,202000,Bon,COLINA
PRT-0538-BJ,Véhicule léger 4x4,Nissan,2013,11,Ouémé,410000,Moyen,SOBAC
PRT-0539-BJ,Véhicule léger 4x4,Isuzu,2015,9,Borgou,275000,Bon,SAAR-Bénin
PRT-0540-BJ,Chargeur,Caterpillar,2015,9,Alibori,218000,Moyen,BGFA Bénin
PRT-0541-BJ,Niveleuse,Komatsu,2012,12,Littoral,354000,Mauvais,BGFA Bénin
PRT-0542-BJ,Grue mobile,XCMG,2018,6,Collines,177000,Bon,Allianz Bénin
PRT-0543-BJ,Camion malaxeur béton,FOTON,2020,4,Borgou,168000,Moyen,NSIA Bénin
PRT-0544-BJ,Niveleuse,Liebherr,2007,17,Atlantique,331000,Mauvais,BGFA Bénin
PRT-0545-BJ,Chargeur,Caterpillar,2010,14,Littoral,594000,Mauvais,NSIA Bénin
PRT-0546-BJ,Camion benne,SHACMAN,2006,18,Atacora,432000,Mauvais,SAAR-Bénin
PRT-0547-BJ,Grue mobile,Hitachi,2017,7,Collines,112000,Bon,Allianz Bénin
PRT-0548-BJ,Véhicule léger 4x4,Mitsubishi,2019,5,Littoral,171000,Moyen,COLINA
PRT-0549-BJ,Véhicule léger 4x4,Nissan,2013,11,Borgou,268000,Moyen,NSIA Bénin
PRT-0550-BJ,Véhicule léger 4x4,Nissan,2011,13,Alibori,484000,Mauvais,Allianz Bénin
PRT-0551-BJ,Camion benne,FOTON,2021,3,Littoral,122000,Bon,BGFA Bénin
PRT-0552-BJ,Pelle hydraulique,Doosan,2009,15,Collines,229000,Mauvais,Allianz Bénin
PRT-0553-BJ,Camion benne,IVECO,2013,11,Ouémé,291000,Moyen,UAB
PRT-0554-BJ,Camion benne,SHACMAN,2014,10,Borgou,280000,Mauvais,COLINA
